"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2008",3849.363,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2009",3949.841,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4155.309,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4225.996,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4332.806,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4424.688,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4532.59,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4630.79,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",5039.601,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",5138.19,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",5330.848,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5370.442,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2000",2686.31,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2001",2874.142,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2002",3152.016,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2003",3055.588,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2004",3170.515,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2005",3264.574,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2006",3442.151,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2007",3586.205,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2008",3729.353,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2009",3887.797,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2010",4047.026,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2011",4161.698,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2012",4299.434,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2013",4549.619,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2014",4630.798,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4669.923,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4922.263,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",4994.828,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5136.2,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5274.26,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2020",5564.075,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2000",2894.22,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2001",3008.09,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2002",3239.77,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2003",3328.64,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2004",3391.06,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2005",3429.955,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2006",3564.142,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2007",3748.57,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2008",3955.045,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2009",4165.596,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2010",4425.073,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2011",4566.553,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2012",4745.435,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2013",4951.437,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2014",5151.422,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2015",5295.897,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5670.578,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",5959.529,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6291.041,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6518.004,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6730.942,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2000",2029.614,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2001",2150.865,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2002",2292.714,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2003",2288.842,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2004",2450.711,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2005",2504.099,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2006",2660.405,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2007",2694.115,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2008",2932.455,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2009",2942.757,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2010",3105.969,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2011",3098.256,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2012",3071.61,"B"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2013",3042.931,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2014",3036.86,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2015",3088.932,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3274.024,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3376.084,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3522.076,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3653.401,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2020",3819.39,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2000",1850.833,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2001",1942.812,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2002",2065.133,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2003",2196.742,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2004",2306.004,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2005",2471.186,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2006",2559.459,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2007",2688.702,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2008",2799.198,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2009",2974.458,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2010",3169.521,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2011",3740.756,"B"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2012",3970.765,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2013",4308.252,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2014",4328.364,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2015",4515.556,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2016",4295.858,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2017",4412.852,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2018",4558.669,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2019",4691.462,"E"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2000",725.202,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2001",860.749,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2002",886.304,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2003",972.637,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2004",1032.929,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2005",1134.304,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2006",1276.115,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2007",1434.145,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2008",1556.157,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2009",1686.34,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2010",1879.043,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2011",1966.703,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2012",2071.546,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2013",2129.162,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2014",2233.19,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2015",2491.691,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2016",2664.734,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2017",2802.355,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2018",3091.826,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2019",3406.256,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2020",3493.695,"P"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2000",517.3,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2001",567.423,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2002",600.49,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2003",688.517,"B"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2004",767.567,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2005",771.596,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2006",821.74,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2007",869.968,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2008",899.877,"B"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2009",913.125,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2010",894.224,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2011",912.027,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2012",973.451,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2013",1002.571,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2014",989.558,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2015",1062.591,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2016",1102.809,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2017",1099.647,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2018",1116.032,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2019",1132.966,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2020",1197.652,"P"
"TUR","HEALTHEXP","TOT","USD_CAP","A","2000",431.847,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2001",472.652,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2002",519.978,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2003",509.613,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2004",558.511,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2005",588.128,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2006",677.628,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2007",732.948,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2008",807.052,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2009",816.531,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2010",844.042,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2011",888.309,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2012",894.741,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2013",947.74,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2014",1006.772,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2015",1040.108,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2016",1128.754,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2017",1175.655,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2018",1214.124,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2019",1266.935,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2000",1892.941,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2001",2108.519,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2002",2353.416,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2003",2472.9,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2004",2733.96,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2005",2735.736,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2006",2931.545,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2007",3071.321,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2008",3203.583,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2009",3271.387,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2010",3390.106,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2011",3452.396,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2012",3587.437,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2013",3691.039,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2014",3779.517,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2015",3831.743,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2016",3988.944,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2017",4096.018,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2018",4288.654,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2019",4500.141,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2020",5267.705,"P"
"USA","HEALTHEXP","TOT","USD_CAP","A","2000",4536.166,
"USA","HEALTHEXP","TOT","USD_CAP","A","2001",4888.081,
"USA","HEALTHEXP","TOT","USD_CAP","A","2002",5316.341,
"USA","HEALTHEXP","TOT","USD_CAP","A","2003",5726.453,
"USA","HEALTHEXP","TOT","USD_CAP","A","2004",6087.904,
"USA","HEALTHEXP","TOT","USD_CAP","A","2005",6442.979,
"USA","HEALTHEXP","TOT","USD_CAP","A","2006",6814.405,
"USA","HEALTHEXP","TOT","USD_CAP","A","2007",7167.044,
"USA","HEALTHEXP","TOT","USD_CAP","A","2008",7386.572,
"USA","HEALTHEXP","TOT","USD_CAP","A","2009",7645.977,
"USA","HEALTHEXP","TOT","USD_CAP","A","2010",7880.441,
"USA","HEALTHEXP","TOT","USD_CAP","A","2011",8080.919,
"USA","HEALTHEXP","TOT","USD_CAP","A","2012",8348.239,
"USA","HEALTHEXP","TOT","USD_CAP","A","2013",8533.098,
"USA","HEALTHEXP","TOT","USD_CAP","A","2014",8949.855,
"USA","HEALTHEXP","TOT","USD_CAP","A","2015",9399.188,
"USA","HEALTHEXP","TOT","USD_CAP","A","2016",9777.261,
"USA","HEALTHEXP","TOT","USD_CAP","A","2017",10106.176,
"USA","HEALTHEXP","TOT","USD_CAP","A","2018",10528.48,
"USA","HEALTHEXP","TOT","USD_CAP","A","2019",10948.475,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2011",1178.694,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2012",1222.604,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2013",1299.214,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2014",1376.439,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2015",1360.799,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2016",1339.996,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2017",1391.372,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2018",1454.76,
"BRA","HEALTHEXP","TOT","USD_CAP","A","2019",1513.891,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2011",438.725,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2012",508.815,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2013",561.66,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2014",595.513,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2015",635.149,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2016",668.096,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2017",730.375,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2018",810.845,
"IND","HEALTHEXP","TOT","USD_CAP","A","2011",159.858,
"IND","HEALTHEXP","TOT","USD_CAP","A","2012",178.642,
"IND","HEALTHEXP","TOT","USD_CAP","A","2013",208.145,
"IND","HEALTHEXP","TOT","USD_CAP","A","2014",208.864,
"IND","HEALTHEXP","TOT","USD_CAP","A","2015",216.051,
"IND","HEALTHEXP","TOT","USD_CAP","A","2016",224.324,
"IND","HEALTHEXP","TOT","USD_CAP","A","2017",238.103,
"IND","HEALTHEXP","TOT","USD_CAP","A","2018",257.403,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2011",273.334,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2012",290.523,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2013",303.801,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2014",328.558,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2015",314.329,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2016",330.886,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2017",316.239,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2018",336.726,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2000",446.85,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2001",482.046,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2002",580.925,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2003",588.887,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2004",624.367,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2005",704.441,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2006",858.191,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2007",987.348,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2008",1202.237,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2009",1209.428,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2010",1205.122,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2011",1204.458,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2012",1338.101,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2013",1409.719,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2014",1478.856,"B"
"RUS","HEALTHEXP","TOT","USD_CAP","A","2015",1433.725,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2016",1406.271,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2017",1521,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2018",1713.947,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2019",1850.261,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2000",514.456,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2001",538.48,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2002",528.426,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2003",556.385,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2004",579.762,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2005",612.521,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2006",665.385,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2007",705.104,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2008",755.476,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2009",789.06,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2010",861.163,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2011",915.984,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2012",969.734,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2013",993.766,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2014",1024.529,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2015",1063.803,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2016",1056.591,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2017",1072.354,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2018",1103.532,
